회사명,회사정보,제목,링크,경력및고용형태,학력,마감일,직무분야,tech,location
아일리스프런티어(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ZndZZmIyK1BURW0wNlJaNlJUb25Ydz09,AI 서비스 - 자연어처리(NLP)/Python 엔진 개발 (추가 채용),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49394122,1 ~ 3년 · 정규직,학력무관,채용시,"백엔드/서버개발, 딥러닝, 머신러닝, 알고리즘, 챗봇",218,101000
,,백엔드 개발자 모집 [경력직],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49387776,3 ~ 7년 · 정규직,고졸↑,채용시,"백엔드/서버개발, 앱개발, API, S/W, Android",218,101000
(주)마인즈앤컴퍼니,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Y2NWU0phaFFnSmthSFRMcnFWbmtqQT09,[인공지능솔루션] 엔지니어 직군 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49334138,3 ~ 20년 · 정규직 외,대학교(4년)↑,~01.03(금),"데이터엔지니어, 백엔드/서버개발, 딥러닝, 머신러닝, 모델링",218,101000
,,[데이터 분석] 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49322429,경력 3년↑ · 정규직,대학교(4년)↑,~01.01(수),"데이터분석가, 데이터엔지니어, 데이터마이닝, 딥러닝, 머신러닝",218,101000
,,[백엔드 개발자] 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49322427,경력 3년↑ · 정규직,"대학(2,3년)↑",~01.01(수),"백엔드/서버개발, API, Java, Javascript, JPA",218,101000
,,[Unity/유니티 개발자] 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49322425,경력 3년↑ · 정규직,"대학(2,3년)↑",~01.01(수),"C#, Unity, WebGL, 유지보수, 프론트엔드",218,101000
(주)엘리스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=eGY3eFVXemdqb0x6aG5STHc1TDVMUT09,데이터 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49273599,경력 3년↑ · 계약직,학력무관,채용시,"데이터엔지니어, 웹개발, 프론트엔드, 솔루션, 인프라",218,101000
(주)어반데이터랩,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=OUZCdVBpSUl1NXAxdG1YTzBCK2NzQT09,어반데이터랩 풀스택 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49252597,2 ~ 5년 · 정규직,학력무관,D-7,"Ajax, Flask, Java, Javascript, Node.js",218,101000
(사)한국아이씨티기술협회,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=YjdaM0NrMDFNMVlPQURzM1ZWU0RkQT09,[국비무료IT취업]자바파이썬/웹개발/빅데이터/인공지능,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49333137,경력무관 · 교육생,학력무관,D-5,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발",218,101000
(주)시큐리온,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=QWh5UDJBRmlETzhlYkg3UHlPTnF0Zz09,[경력] Back-end 개발자 채용(내일채움공제가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49428675,경력 5년↑ · 정규직,"대학(2,3년)↑",D-5,"백엔드/서버개발, Django, Flask, MySQL, PostgreSQL",218,101000
(주)에이치알타운,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=K3RDdnNmZnowdHpDc2Jib2prTlhrUT09,식품대기업 그룹내 AI 웹서비스 개발 및 운영  대리급경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49523142,5 ~ 10년 · 정규직,대학교(4년)↑,~01.03(금),"앱개발, 웹개발, 프론트엔드, Python, 유지보수",218,101000
