회사명,회사정보,제목,링크,경력및고용형태,학력,마감일,직무분야,tech,location
(주)노르마,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=eWtjRFRSNm43WkRsaFpCa001RlRLZz09,[노르마]각 부문별 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49232567,3 ~ 15년 · 정규직,대학교(4년)↑,채용시,"백엔드/서버개발, 웹개발, 정보보안, 네트워크, 머신러닝",195,101000
(주)마이베네핏,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=UHV5b3ZNZUZ6dlgyQ3JtL1V3anIrQT09,"안드로이드, iOS 개발자(경력3~5년)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49540543,3 ~ 5년 · 정규직,학력무관,~01.04(토),"앱개발, 딥러닝, 머신러닝, 빅데이터, AI(인공지능)",195,101000
(주)마이베네핏,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=UHV5b3ZNZUZ6dlgyQ3JtL1V3anIrQT09,"안드로이드, iOS 개발자(경력6~10년)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49540550,6 ~ 10년 · 정규직,학력무관,~01.04(토),"앱개발, 딥러닝, 머신러닝, 빅데이터, AI(인공지능)",195,101000
(주)사이버다임,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Tk85MW1sVTU3T0tOckVzYkw5MGc4Zz09,연구소 서버개발팀 모바일 개발자 (경력) 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49548723,경력 5년↑ · 정규직,"대학(2,3년)↑",~02.07(금),"앱개발, 솔루션, 알고리즘, 챗봇, DBMS",195,101000
브랜드인게이지먼트네트워크인크(영업소),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=bDVUTDlqZnV3a2VlemhKcm5Td3VwUT09,Mobile 개발자(Android Developer/iOS Developer) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49526211,신입 · 경력 · 정규직 외,대학교(4년)↑,상시채용,"앱개발, SDK, 어셈블리, Android, C++",195,101000
(주)페이타랩,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ekJOVENHa0p0TzdoaTVQVHVpY3Vydz09,[패스오더] Android Developer (경력 6~10년 이하),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49537252,6 ~ 10년 · 정규직,학력무관,~01.03(금),"앱개발, 웹개발, 프론트엔드, Android, Git",195,101000
(주)페이타랩,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ekJOVENHa0p0TzdoaTVQVHVpY3Vydz09,[패스오더] Android Developer (병역특례 지원가능)(신입~5년 이하),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49537250,신입 · 경력 · 정규직,학력무관,~01.03(금),"앱개발, 웹개발, 프론트엔드, Android, Git",195,101000
(주)피에트,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=akIrUWVPTDEzY2VSeXR0S0tscGJqZz09,플러터(Flutter) 개발자 채용(6~10년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49536656,6 ~ 10년 · 정규직,대학교(4년)↑,~01.04(토),"앱개발, 웹개발, 프론트엔드, Android, Flutter",195,101000
(주)인피닉,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=b3MrcEhoaHBTMHQ0N1VKSE9MaU1zQT09,[수원] SW 테스트 엔지니어 (QA) 경력 채용(경력 1년 ~ 5년 미만),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49531848,1 ~ 5년 · 정규직,학력무관,~01.03(금),"QA/테스터, C언어, Python, 임베디드, 자율주행",195,101000
(주)인피닉,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=b3MrcEhoaHBTMHQ0N1VKSE9MaU1zQT09,[수원] SW 테스트 엔지니어 (QA) 경력 채용(경력 5년 ~ 8년 미만),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49531857,5 ~ 8년 · 정규직,학력무관,~01.03(금),"QA/테스터, C언어, Python, 임베디드, 자율주행",195,101000
(주)씨브이네트,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=bmQwdGFjL0lVSlIwb01UbGFpL1VpZz09,[삼성계열사] 임베디드 S/W (안드로이드),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49535753,3 ~ 20년 · 정규직,대학교(4년)↑,~01.03(금),"앱개발, SE(시스템엔지니어), 임베디드, H/W, S/W",195,101000
(주)비욘드테크,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=U0NZZWhQREU2cldKWnhyb3JVNkN1UT09,프로그래머 / 경력직 - 웹 JAVA JSP / 응용 C#,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49526226,4 ~ 15년 · 정규직,학력무관,~01.03(금),"백엔드/서버개발, 웹개발, 퍼블리셔, 프론트엔드, S/W",195,101000
(사)스마트인재개발원,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Y0hQRjRzemlISTUxTUVzUEN0dWhodz09,"[81%취업] 빅데이터,AI 무료취업과정 모집!",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48920397,경력무관 · 교육생,학력무관,~12.31(화),"백엔드/서버개발, 앱개발, 웹개발, 머신러닝, 빅데이터",195,101000
(주)제이디디지털스튜디오,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=cExMQmVzYU5UTHhDamF0QVE1aG1mdz09,미디어아트 실감콘텐츠 인터랙티브 언리얼 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49544611,경력무관 · 정규직,"대학(2,3년)↑",채용시,"게임개발, 기술지원, 백엔드/서버개발, 유지보수, SI개발",195,101000
퍼솔켈리코리아(유),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=eGk1Y2lpcWZ1d0JYTndINTh1Vk8rdz09,[외국계 IT 대기업 A사] Cellular Engineer 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49543077,2 ~ 5년 · 계약직 외,"대학(2,3년)↑",~01.05(일),"기술지원, 데이터엔지니어, 유지보수, QA/테스터, SE(시스템엔지니어)",195,101000
(주)브이아이펫,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=cm5oWHJDVGpPRWpUdDUwUmkrdG14QT09,[재택근무1회]펫VIP(브이아이펫)풀스택 React Native개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49541968,5 ~ 8년 · 정규직,"대학(2,3년)↑",채용시,"백엔드/서버개발, 앱개발, 유지보수, 개발PM, Android",195,101000
블루바이저시스템즈,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=bllMbnlIS0llaUtJVDBQajJLaGdQdz09,[블루바이저] 안드로이드 개발자  채용 (서울),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49473039,경력 1년↑ · 정규직,학력무관,~12.26(목),"웹개발, Android, 솔루션",195,101000
(주)아정네트웍스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=WVZlYmNvd3NpMUtCZ1BOK3EwUlBuZz09,[아정당] React Native 앱 개발자 (3년이상 ~ 리드급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49541191,경력무관 · 정규직,대학교(4년)↑,상시채용,"앱개발, 웹개발, 프론트엔드, 트러블슈팅, Android",195,101000
(주)알에프메디컬,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=dTVIN2FFOWJlUDRqSklXdnNxS1JMUT09,의료기기 전자개발 S/W 설계 담당 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49524319,3 ~ 10년 · 정규직,대학교(4년)↑,~01.02(목),"펌웨어, S/W, C#, C++, C언어",195,101000
,,리액트 네이티브 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49524342,1 ~ 15년 · 정규직,학력무관,~01.02(목),"앱개발, 웹개발, 프론트엔드, Android, ECMAScript",195,101000
(주)팜클,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=a0xVL3o3cEZWR3lESEdBdFZoOEp6QT09,SW 개발 PM(Project Manager) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49494259,1 ~ 7년 · 정규직,대학교(4년)↑,~12.29(일),"백엔드/서버개발, 앱개발, 웹개발, SE(시스템엔지니어), 인프라",195,101000
(주)비바이노베이션,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=cnNKaWZscDVBOXNtTEJNa2hFN1RUdz09,모바일파트-iOS 개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49393913,2 ~ 5년 · 정규직,학력무관,내일마감,"앱개발, 웹개발, 프론트엔드, Android, Git",195,101000
(주)와이즈스톤티,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=eUJZNlZDQUhXTldaTk5mVDdjWFlDdz09,[와이즈스톤티] 소프트웨어 QA 테스터 신입/경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49313700,신입 · 경력 · 정규직,"대학(2,3년)↑",~12.31(화),"QA/테스터, S/W, 블록체인, 빅데이터, Android",195,101000
(주)에스에프테크놀로지,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=T21xTVAyNVlPVGhyTG1wY1FGbEo1QT09,"F/W , MICOM 경력개발자 모집 (병특가능)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49531110,경력무관 · 정규직,"대학(2,3년)↑",~01.04(토),"임베디드, H/W, IoT, MCU, RTOS",195,101000
(주)플랙스뉴럴랩스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=d2tYbW9RSmpUMFdjUGdMdGlTUnlNZz09,앱개발자 (Flutter) 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49518996,2 ~ 10년 · 정규직,학력무관,~01.03(금),"앱개발, Android, Flutter, iOS, Kotlin",195,101000
(주)아이쿠카,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=WDhSRnp6MWFnbndCd1lWenNFd1cwZz09,Java SpringBoot 백엔드 개발자 (5년 이상 경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49517797,5 ~ 15년 · 정규직,대학교(4년)↑,~12.31(화),"백엔드/서버개발, 웹개발, 프론트엔드, DBA, SE(시스템엔지니어)",195,101000
(주)네오플,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=QWdtMUFGWDUyOTJHdGxmdTM1dWtZdz09,[네오플] 프로그래밍/기술지원 직군 분야별 모집(근무지:서울),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49409848,신입 · 경력 · 정규직,학력무관,오늘마감,"게임개발, 백엔드/서버개발, 네트워크, 액션스크립트, C#",195,101000
(주)라임시큐리티,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=TUNqNjBYQXQwU3VjUzhUZjA5MU5Jdz09,정보보호 컨설팅 채용(관리체계/ 모의해킹/ 취약점분석),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49526564,신입 · 경력 · 계약직,"대학(2,3년)↑",~01.03(금),"기술지원, 보안컨설팅, 정보보안, 모의해킹, 취약점진단",195,101000
(주)시큐아이,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=bkVJMzRVczdpTFVERGtQVEVEQjBnZz09,[삼성SDS자회사] (주)시큐아이 경력사원 채용(개발-CLIENT),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49523383,경력 3년↑ · 정규직,학력무관,~12.31(화),"앱개발, 웹개발, 유지보수, C++, C언어",195,101000
(주)제이투이,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Mk1qK3VGT1dsSTFKREJpM0VCbmJnZz09,[Android SM 공공 태릉] 공공기관 시스템 유지보수 업무   (3),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49390461,경력 2년↑ · 정규직,"대학(2,3년)↑",~01.04(토),"앱개발, 웹개발, 유지보수, Android, AWS",195,101000
주식회사하이퍼브레인랩,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=c0h6dWZEUEpWV0hZZFF2QTU5eHhoQT09,Flutter / React Native 프론트엔드 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49521584,경력 1년↑ · 정규직,학력무관,채용시,"프론트엔드, Android, Flutter, iOS, React",195,101000
글로하우홀딩스 연락사무소,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=NVhYeGJTemxVbDVNV29jU2t3d00rUT09,기술 지원 (Technical Support),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49495526,경력 3년↑ · 정규직,학력무관,상시채용,"기술지원, DBA, 개발PM, 인프라, 클라이언트",195,101000
,,개발 및 개발 프로젝트 매니저를 채용합니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49518376,신입 · 경력 · 정규직 외,학력무관,채용시,"백엔드/서버개발, 앱개발, 웹개발, SI개발, PM(프로젝트매니저)",195,101000
(주)트라이업,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=TzZkSW5ZWXpQc3pyOG5rMmo5bWJ6UT09,[트라이업] 안드로이드 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49378884,경력 3년↑ · 정규직,학력무관,상시채용,"Flutter, 유지보수, 솔루션, 클라우드, API",195,101000
(주)멸치,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=cldVdXlWZnVRUFdnRlc3ZThsRDB3Zz09,[Android/IOS] 앱개발자를 모십니다.(최고대우),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49516930,경력 5년↑ · 정규직 외,학력무관,상시채용,"앱개발, 유지보수, 퍼블리셔, 프론트엔드, 빅데이터",195,101000
(주)멸치,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=cldVdXlWZnVRUFdnRlc3ZThsRDB3Zz09,[Android/IOS] 앱개발자를 모십니다.(최고 대우),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49516740,경력 5년↑ · 정규직 외,학력무관,상시채용,"데이터분석가, 앱개발, 유지보수, 퍼블리셔, 빅데이터",195,101000
주식회사 패스트뷰,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=UUppK0VZdzRkVzZIdFk2TVg4a1dnZz09,[자동차사업본부] React Native 앱개발자 (4년 - 6년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49516638,4 ~ 7년 · 정규직,학력무관,~01.02(목),"프론트엔드, 유지보수, 트러블슈팅, Android, AWS",195,101000
(주)픽소,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=WGJDZlhSTVkxNXdWemJtdnhpY0RvZz09,안드로이드 엔지니어(주니어),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49496073,2 ~ 4년 · 정규직,학력무관,~12.30(월),"앱개발, Android, Git, Kotlin, SDK",195,101000
(주)엠서클,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ZjhycVQvL0k4QlVQUXhNL0FvVFBLdz09,[엠서클/웰체크] 웰체크QA 경력직 모집(3년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49513500,3 ~ 10년 · 정규직,"대학(2,3년)↑",~12.23(월),"QA/테스터, 솔루션, 빅데이터, 헬스케어, Android",195,101000
(주)가드포스트,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ZmtnRmZISHJNY05sRitGbkRNREJhZz09,[신입] 정보보안 컨설턴트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49513170,신입 · 정규직,대학교(4년)↑,~01.01(수),"보안컨설팅, 정보보안, 모의해킹, 인프라, DBMS",195,101000
,,Runtime 소프트웨어 엔지니어 채용 (병역특례 가능),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49483790,신입 · 경력 · 정규직,고졸↑,~12.26(목),"데이터분석가, 딥러닝, 머신러닝, 블록체인, 빅데이터",195,101000
위쉬정보기술㈜,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=eVdGYlJtRUt1eWlmMkR2c0lOZnFPdz09,선릉 DB생명 android IOS 운영 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49511656,경력 1년↑ · 정규직 외,학력무관,~01.01(수),"앱개발, SDK, Android, Flutter, iOS",195,101000
롱기스트(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=b2VBNTUzemJNRVFqV2JQZWM0Wm9PUT09,[롱기스트] Android 앱 개발 정규직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49511479,2 ~ 3년 · 정규직,대학교(4년)↑,~12.31(화),"앱개발, Android, 유지보수, 솔루션, Java",195,101000
,,[경력] 프론트엔드 웹(Web) 및 안드로이드(Android) 개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49510100,1 ~ 5년 · 정규직 외,학력무관,~01.01(수),"앱개발, 웹개발, 프론트엔드, Android, Angular",195,101000
알서포트(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=VTNUYVpjMzVncjk0VVc0ZWdjT2JmQT09,[코스닥 상장사] 소프트웨어 기술지원 엔지니어 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49510074,경력 3년↑ · 정규직,학력무관,상시채용,"기술지원, 솔루션, S/W, 유지보수, Windows",195,101000
리디(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=c0duSVlLS2lqZWhUenpBQS9MZDYrdz09,[글로벌콘텐츠 기업 리디] 리액트 네이티브 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49508321,5 ~ 8년 · 정규직,학력무관,~12.31(화),"프론트엔드, 반응형웹, S/W, 유지보수, Android",195,101000
(주)아이지넷,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=bHZFQXhKdE9HbkJuUW4wNkR3cjlIUT09,[복지우수] 연구소 React Native Frontend 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49503319,5 ~ 15년 · 정규직,학력무관,~12.31(화),"앱개발, 웹개발, 프론트엔드, 핀테크, ECMAScript",195,101000
(주)아이지넷,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=bHZFQXhKdE9HbkJuUW4wNkR3cjlIUT09,React Native Frontend Engineer 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49497992,5 ~ 15년 · 정규직,학력무관,~12.28(토),"앱개발, 웹개발, 프론트엔드, Android, ECMAScript",195,101000
에이스올루션글로벌 주식회사,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ckdRaThUY0tLOG53alF0UHJ2VWN0QT09,안드로이드 테스트 엔지니어 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49380667,2 ~ 20년 · 계약직 외,학력무관,~01.10(금),"데이터분석가, 데이터엔지니어, QA/테스터, SE(시스템엔지니어), Android",195,101000
(주)에코카우,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=b2ZSMGkyempWMGEzd3Fad091RldHQT09,공덕 (react-native) 앱 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49498543,경력 2년↑ · 정규직,학력무관,~12.29(일),"앱개발, 프론트엔드, S/W, React-Native, TypeScript",195,101000
(주)미로,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=K3dabHc4alE5Y0F2anNlNzB5WWxRUT09,(주)미로 기업부설연구소  병역특례 전문연구요원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49562498,신입 · 경력 · 정규직 외,석사↑,채용시,"데이터엔지니어, 백엔드/서버개발, 프론트엔드, H/W, IoT",195,108000
주식회사리본솔루션,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=dG80T01QTEpXdzJHd1BXOGNFZVZXQT09,[리본솔루션] 플러터 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49548288,경력무관 · 계약직,학력무관,D-2,"Flutter, 유지보수, API, 인터페이스, Android",195,108000
케이엠아이에스(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=dFNWM2hTQ3dRV0lOaEVRN2FHMVNsdz09,Unity 개발 정규직 채용 - 경력사원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49386126,경력 2년↑ · 정규직 외,대학교(4년)↑,채용시,"앱개발, 웹개발, 프론트엔드, AR(증강현실), GIS",195,108000
,,2024년 하반기 신입/경력사원 공채,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49567318,신입 · 경력 · 정규직,대학교(4년)↑,~12.29(일),"데이터엔지니어, 앱개발, DBA, IT컨설팅, SE(시스템엔지니어)",195,108000
휴먼리스펙,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=NTBNYjl0azl5WmcvOG5oV3pRQVZadz09,[IT기업] SW 테스트 엔지니어 (QA),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49501544,1 ~ 10년 · 정규직,"대학(2,3년)↑",~12.31(화),"QA/테스터, API, Android, Python",195,108000
